,humidity,max_temp,min_temp,rainfall,year,zila
50,61,33.9,15.3,2813,2010,Cox's Bazar
51,75,27.0,14.9,4411,2011,Cox's Bazar
52,71,34.2,12.5,2197,2008,Dhaka
53,66,35.6,14.8,1912,2009,Dhaka
54,55,35.5,12.8,1181,2010,Dhaka
55,68,23.4,12.2,1777,2011,Dhaka
56,77,34.1,9.9,1787,2008,Dinajpur
57,74,33.0,12.1,1994,2009,Dinajpur
58,60,33.5,10.1,1453,2010,Dinajpur
59,75,20.8,9.2,1632,2011,Dinajpur
60,79,35.2,9.6,1834,2008,Faridpur
61,75,37.4,11.4,1224,2009,Faridpur
62,63,34.7,8.7,587,2010,Faridpur
63,78,23.3,8.6,1620,2011,Faridpur
64,79,33.6,11.6,2881,2008,Feni
65,79,33.2,15.7,3284,2009,Feni
66,66,32.5,11.7,2018,2010,Feni
67,79,24.2,11.4,3192,2011,Feni
68,41,32.2,10.4,1907,2008,Gaibandha
69,69,33.1,8.8,2217,2009,Gaibandha
70,60,41.8,10.5,2102,2010,Gaibandha
71,59,36.3,6.0,1932,2011,Gaibandha
72,71,34.2,12.5,2197,2008,Gazipur
73,66,35.6,14.8,1912,2009,Gazipur
74,55,35.0,12.8,1181,2010,Gazipur
75,68,23.4,12.2,1777,2011,Gazipur
76,79,35.2,9.6,1834,2008,Gopalganj
77,75,37.4,11.4,1224,2009,Gopalganj
78,63,34.7,8.7,587,2010,Gopalganj
79,78,23.3,8.6,1620,2011,Gopalganj
80,79,34.1,8.2,3356,2008,Habiganj
81,78,33.2,10.7,2407,2009,Habiganj
82,63,34.0,8.7,1868,2010,Habiganj
83,78,23.7,8.6,2071,2011,Habiganj
84,79,34.2,12.5,2235,2008,Jamalpur
85,80,33.0,13.2,1653,2009,Jamalpur
86,66,32.4,11.7,1811,2010,Jamalpur
87,79,22.2,10.8,2153,2011,Jamalpur
88,80,36.2,9.9,1809,2008,Jessore
89,77,38.2,11.1,1647,2009,Jessore
90,63,37.6,9.9,1026,2010,Jessore
91,77,24.8,9.3,1374,2011,Jessore
92,81,34.2,11.2,1850,2008,Jhalokati
93,79,34.4,13.1,1837,2009,Jhalokati
94,66,34.7,10.8,1220,2010,Jhalokati
95,79,25.0,10.9,1990,2011,Jhalokati
96,79,35.2,9.6,1834,2008,Jhenaidah
97,75,37.4,11.4,1224,2009,Jhenaidah
98,63,34.7,8.7,587,2010,Jhenaidah
99,78,23.3,8.6,1620,2011,Jhenaidah
